type,cost,amount,datetime,symbol,price,timestamp
,1.54378,10.0,2024-03-21T22:23:51.667Z,DOGE/USD:USD,0.154378,1711059831667
,1.54397,10.0,2024-03-21T22:24:12.868Z,DOGE/USD:USD,0.154397,1711059852868
,1.54314,10.0,2024-03-21T22:24:36.168Z,DOGE/USD:USD,0.154314,1711059876168
,1.5417,10.0,2024-03-21T22:24:55.368Z,DOGE/USD:USD,0.15417,1711059895368
,1.54045,10.0,2024-03-21T22:25:12.121Z,DOGE/USD:USD,0.154045,1711059912121
,1.54006,10.0,2024-03-21T22:25:44.070Z,DOGE/USD:USD,0.154006,1711059944070
,1.53953,10.0,2024-03-21T22:26:09.468Z,DOGE/USD:USD,0.153953,1711059969468
,1.54261,10.0,2024-03-21T22:26:27.568Z,DOGE/USD:USD,0.154261,1711059987568
,1.54423,10.0,2024-03-21T22:26:42.968Z,DOGE/USD:USD,0.154423,1711060002968
,1.54848,10.0,2024-03-21T22:27:20.168Z,DOGE/USD:USD,0.154848,1711060040168
,1.54846,10.0,2024-03-21T22:27:42.968Z,DOGE/USD:USD,0.154846,1711060062968
,1.54619,10.0,2024-03-21T22:28:19.267Z,DOGE/USD:USD,0.154619,1711060099267
,1.54427,10.0,2024-03-21T22:28:51.967Z,DOGE/USD:USD,0.154427,1711060131967
,1.54378,10.0,2024-03-21T22:29:11.567Z,DOGE/USD:USD,0.154378,1711060151567
,1.54379,10.0,2024-03-21T22:29:35.068Z,DOGE/USD:USD,0.154379,1711060175068
,1.5433,10.0,2024-03-21T22:29:56.168Z,DOGE/USD:USD,0.15433,1711060196168
,1.54293,10.0,2024-03-21T22:30:14.871Z,DOGE/USD:USD,0.154293,1711060214871
,1.54369,10.0,2024-03-21T22:30:38.567Z,DOGE/USD:USD,0.154369,1711060238567
,1.54347,10.0,2024-03-21T22:30:55.668Z,DOGE/USD:USD,0.154347,1711060255668
,1.54282,10.0,2024-03-21T22:31:18.368Z,DOGE/USD:USD,0.154282,1711060278368
,1.54175,10.0,2024-03-21T22:31:53.368Z,DOGE/USD:USD,0.154175,1711060313368
,1.54101,10.0,2024-03-21T22:32:16.673Z,DOGE/USD:USD,0.154101,1711060336673
,1.53984,10.0,2024-03-21T22:32:48.875Z,DOGE/USD:USD,0.153984,1711060368875
,1.53937,10.0,2024-03-21T22:33:26.769Z,DOGE/USD:USD,0.153937,1711060406769
,1.53978,10.0,2024-03-21T22:34:03.868Z,DOGE/USD:USD,0.153978,1711060443868
,1.53916,10.0,2024-03-21T22:34:43.068Z,DOGE/USD:USD,0.153916,1711060483068
,1.54001,10.0,2024-03-21T22:35:05.575Z,DOGE/USD:USD,0.154001,1711060505575
,1.54014,10.0,2024-03-21T22:35:45.069Z,DOGE/USD:USD,0.154014,1711060545069
,1.53984,10.0,2024-03-21T22:36:02.368Z,DOGE/USD:USD,0.153984,1711060562368
,1.53738,10.0,2024-03-21T22:36:24.168Z,DOGE/USD:USD,0.153738,1711060584168
,1.53832,10.0,2024-03-21T22:36:41.068Z,DOGE/USD:USD,0.153832,1711060601068
,1.53797,10.0,2024-03-21T22:37:11.468Z,DOGE/USD:USD,0.153797,1711060631468
,1.53805,10.0,2024-03-21T22:37:28.668Z,DOGE/USD:USD,0.153805,1711060648668
,1.53801,10.0,2024-03-21T22:37:51.268Z,DOGE/USD:USD,0.153801,1711060671268
,1.53892,10.0,2024-03-21T22:38:29.268Z,DOGE/USD:USD,0.153892,1711060709268
,1.5412,10.0,2024-03-21T22:38:49.769Z,DOGE/USD:USD,0.15412,1711060729769
,1.5414,10.0,2024-03-21T22:39:07.767Z,DOGE/USD:USD,0.15414,1711060747767
,1.54437,10.0,2024-03-21T22:39:40.368Z,DOGE/USD:USD,0.154437,1711060780368
,1.54719,10.0,2024-03-21T22:40:03.267Z,DOGE/USD:USD,0.154719,1711060803267
,1.54694,10.0,2024-03-21T22:40:24.868Z,DOGE/USD:USD,0.154694,1711060824868
,1.54583,10.0,2024-03-21T22:40:46.768Z,DOGE/USD:USD,0.154583,1711060846768
,1.54302,10.0,2024-03-21T22:41:12.867Z,DOGE/USD:USD,0.154302,1711060872867
,1.54406,10.0,2024-03-21T22:41:48.768Z,DOGE/USD:USD,0.154406,1711060908768
,1.54628,10.0,2024-03-21T22:42:09.767Z,DOGE/USD:USD,0.154628,1711060929767
,1.54564,10.0,2024-03-21T22:42:26.768Z,DOGE/USD:USD,0.154564,1711060946768
,1.54479,10.0,2024-03-21T22:42:49.467Z,DOGE/USD:USD,0.154479,1711060969467
,1.54375,10.0,2024-03-21T22:43:06.368Z,DOGE/USD:USD,0.154375,1711060986368
,1.54548,10.0,2024-03-21T22:43:29.268Z,DOGE/USD:USD,0.154548,1711061009268
,1.54631,10.0,2024-03-21T22:43:46.067Z,DOGE/USD:USD,0.154631,1711061026067
,1.54504,10.0,2024-03-21T22:44:09.168Z,DOGE/USD:USD,0.154504,1711061049168
,1.54616,10.0,2024-03-21T22:44:27.168Z,DOGE/USD:USD,0.154616,1711061067168
,1.54477,10.0,2024-03-21T22:44:46.770Z,DOGE/USD:USD,0.154477,1711061086770
,1.54269,10.0,2024-03-21T22:45:32.068Z,DOGE/USD:USD,0.154269,1711061132068
,1.5429,10.0,2024-03-21T22:45:50.068Z,DOGE/USD:USD,0.15429,1711061150068
,1.54212,10.0,2024-03-21T22:46:12.468Z,DOGE/USD:USD,0.154212,1711061172468
,1.54026,10.0,2024-03-21T22:46:31.571Z,DOGE/USD:USD,0.154026,1711061191571
,1.54014,10.0,2024-03-21T22:47:08.168Z,DOGE/USD:USD,0.154014,1711061228168
,1.54096,10.0,2024-03-21T22:47:27.268Z,DOGE/USD:USD,0.154096,1711061247268
,1.54249,10.0,2024-03-21T22:48:06.668Z,DOGE/USD:USD,0.154249,1711061286668
,1.54259,10.0,2024-03-21T22:48:24.271Z,DOGE/USD:USD,0.154259,1711061304271
,1.54359,10.0,2024-03-21T22:48:55.768Z,DOGE/USD:USD,0.154359,1711061335768
,1.54433,10.0,2024-03-21T22:49:14.770Z,DOGE/USD:USD,0.154433,1711061354770
,1.54445,10.0,2024-03-21T22:49:33.068Z,DOGE/USD:USD,0.154445,1711061373068
,1.54471,10.0,2024-03-21T22:49:55.468Z,DOGE/USD:USD,0.154471,1711061395468
,1.54407,10.0,2024-03-21T22:50:17.968Z,DOGE/USD:USD,0.154407,1711061417968
,1.54298,10.0,2024-03-21T22:50:51.168Z,DOGE/USD:USD,0.154298,1711061451168
,1.5438,10.0,2024-03-21T22:51:16.468Z,DOGE/USD:USD,0.15438,1711061476468
,1.54281,10.0,2024-03-21T22:51:38.767Z,DOGE/USD:USD,0.154281,1711061498767
,1.5434,10.0,2024-03-21T22:51:59.579Z,DOGE/USD:USD,0.15434,1711061519579
,1.543,10.0,2024-03-21T22:52:31.068Z,DOGE/USD:USD,0.1543,1711061551068
,1.54304,10.0,2024-03-21T22:52:53.768Z,DOGE/USD:USD,0.154304,1711061573768
,1.54242,10.0,2024-03-21T22:53:27.768Z,DOGE/USD:USD,0.154242,1711061607768
,1.54443,10.0,2024-03-21T22:53:46.668Z,DOGE/USD:USD,0.154443,1711061626668
,1.54557,10.0,2024-03-21T22:54:07.968Z,DOGE/USD:USD,0.154557,1711061647968
,1.54723,10.0,2024-03-21T22:54:27.568Z,DOGE/USD:USD,0.154723,1711061667568
,1.5474,10.0,2024-03-21T22:54:49.068Z,DOGE/USD:USD,0.15474,1711061689068
,1.54607,10.0,2024-03-21T22:55:13.368Z,DOGE/USD:USD,0.154607,1711061713368
,1.54497,10.0,2024-03-21T22:55:30.768Z,DOGE/USD:USD,0.154497,1711061730768
,1.54345,10.0,2024-03-21T22:55:55.077Z,DOGE/USD:USD,0.154345,1711061755077
,1.54345,10.0,2024-03-21T22:56:19.970Z,DOGE/USD:USD,0.154345,1711061779970
,1.54289,10.0,2024-03-21T22:56:43.168Z,DOGE/USD:USD,0.154289,1711061803168
,1.54485,10.0,2024-03-21T22:57:04.268Z,DOGE/USD:USD,0.154485,1711061824268
,1.54479,10.0,2024-03-21T22:57:22.771Z,DOGE/USD:USD,0.154479,1711061842771
,1.54645,10.0,2024-03-21T22:57:42.767Z,DOGE/USD:USD,0.154645,1711061862767
,1.54654,10.0,2024-03-21T22:58:05.167Z,DOGE/USD:USD,0.154654,1711061885167
,1.54637,10.0,2024-03-21T22:58:27.568Z,DOGE/USD:USD,0.154637,1711061907568
,1.54646,10.0,2024-03-21T22:58:46.571Z,DOGE/USD:USD,0.154646,1711061926571
,1.54611,10.0,2024-03-21T22:59:08.968Z,DOGE/USD:USD,0.154611,1711061948968
,1.54681,10.0,2024-03-21T22:59:33.368Z,DOGE/USD:USD,0.154681,1711061973368
,1.54567,10.0,2024-03-21T22:59:53.968Z,DOGE/USD:USD,0.154567,1711061993968
,1.54553,10.0,2024-03-21T23:00:13.867Z,DOGE/USD:USD,0.154553,1711062013867
,1.54579,10.0,2024-03-21T23:00:34.068Z,DOGE/USD:USD,0.154579,1711062034068
,1.54599,10.0,2024-03-21T23:00:52.873Z,DOGE/USD:USD,0.154599,1711062052873
,1.54617,10.0,2024-03-21T23:01:16.968Z,DOGE/USD:USD,0.154617,1711062076968
,1.54626,10.0,2024-03-21T23:01:35.368Z,DOGE/USD:USD,0.154626,1711062095368
,1.54638,10.0,2024-03-21T23:01:57.668Z,DOGE/USD:USD,0.154638,1711062117668
,1.54485,10.0,2024-03-21T23:02:21.468Z,DOGE/USD:USD,0.154485,1711062141468
,1.54545,10.0,2024-03-21T23:02:42.468Z,DOGE/USD:USD,0.154545,1711062162468
,1.54469,10.0,2024-03-21T23:03:20.768Z,DOGE/USD:USD,0.154469,1711062200768
,1.54511,10.0,2024-03-21T23:03:47.068Z,DOGE/USD:USD,0.154511,1711062227068
,1.54433,10.0,2024-03-21T23:04:20.968Z,DOGE/USD:USD,0.154433,1711062260968
,1.5414,10.0,2024-03-21T23:04:44.677Z,DOGE/USD:USD,0.15414,1711062284677
,1.54151,10.0,2024-03-21T23:05:19.368Z,DOGE/USD:USD,0.154151,1711062319368
,1.54096,10.0,2024-03-21T23:05:37.767Z,DOGE/USD:USD,0.154096,1711062337767
,1.53934,10.0,2024-03-21T23:05:57.667Z,DOGE/USD:USD,0.153934,1711062357667
,1.53948,10.0,2024-03-21T23:06:35.168Z,DOGE/USD:USD,0.153948,1711062395168
,1.54117,10.0,2024-03-21T23:06:54.568Z,DOGE/USD:USD,0.154117,1711062414568
,1.54058,10.0,2024-03-21T23:07:29.071Z,DOGE/USD:USD,0.154058,1711062449071
,1.54113,10.0,2024-03-21T23:07:52.767Z,DOGE/USD:USD,0.154113,1711062472767
,1.53915,10.0,2024-03-21T23:08:17.967Z,DOGE/USD:USD,0.153915,1711062497967
,1.53769,10.0,2024-03-21T23:08:41.768Z,DOGE/USD:USD,0.153769,1711062521768
,1.53648,10.0,2024-03-21T23:08:59.368Z,DOGE/USD:USD,0.153648,1711062539368
,1.5365,10.0,2024-03-21T23:09:18.768Z,DOGE/USD:USD,0.15365,1711062558768
,1.53609,10.0,2024-03-21T23:09:42.367Z,DOGE/USD:USD,0.153609,1711062582367
,1.53601,10.0,2024-03-21T23:10:04.467Z,DOGE/USD:USD,0.153601,1711062604467
,4012.9533,26100.0,2024-03-21T23:10:15.146Z,DOGE/USD:USD,0.153753,1711062615146
,5696.13975,37030.0,2024-03-21T23:10:15.148Z,DOGE/USD:USD,0.153825,1711062615148
,1.53814,10.0,2024-03-21T23:10:21.168Z,DOGE/USD:USD,0.153814,1711062621168
,1.54219,10.0,2024-03-21T23:10:44.667Z,DOGE/USD:USD,0.154219,1711062644667
,1.54353,10.0,2024-03-21T23:11:03.468Z,DOGE/USD:USD,0.154353,1711062663468
,1.54358,10.0,2024-03-21T23:11:28.268Z,DOGE/USD:USD,0.154358,1711062688268
,1.54362,10.0,2024-03-21T23:12:05.770Z,DOGE/USD:USD,0.154362,1711062725770
,1.54247,10.0,2024-03-21T23:12:27.768Z,DOGE/USD:USD,0.154247,1711062747768
,1.54297,10.0,2024-03-21T23:13:00.567Z,DOGE/USD:USD,0.154297,1711062780567
,1.54169,10.0,2024-03-21T23:13:26.367Z,DOGE/USD:USD,0.154169,1711062806367
,1.54035,10.0,2024-03-21T23:14:02.468Z,DOGE/USD:USD,0.154035,1711062842468
,1.53925,10.0,2024-03-21T23:14:26.568Z,DOGE/USD:USD,0.153925,1711062866568
,1.54148,10.0,2024-03-21T23:14:51.667Z,DOGE/USD:USD,0.154148,1711062891667
,1.54292,10.0,2024-03-21T23:15:24.467Z,DOGE/USD:USD,0.154292,1711062924467
,1.54186,10.0,2024-03-21T23:15:46.368Z,DOGE/USD:USD,0.154186,1711062946368
,1.5431,10.0,2024-03-21T23:16:06.168Z,DOGE/USD:USD,0.15431,1711062966168
,1.54225,10.0,2024-03-21T23:16:23.468Z,DOGE/USD:USD,0.154225,1711062983468
,1.54372,10.0,2024-03-21T23:16:42.068Z,DOGE/USD:USD,0.154372,1711063002068
,1.54378,10.0,2024-03-21T23:17:04.468Z,DOGE/USD:USD,0.154378,1711063024468
,1.54333,10.0,2024-03-21T23:17:29.468Z,DOGE/USD:USD,0.154333,1711063049468
,1.54417,10.0,2024-03-21T23:17:49.468Z,DOGE/USD:USD,0.154417,1711063069468
,2666.8469,17300.0,2024-03-21T23:17:56.981Z,DOGE/USD:USD,0.154153,1711063076981
,2665.4283,17300.0,2024-03-21T23:17:56.997Z,DOGE/USD:USD,0.154071,1711063076997
,1.53974,10.0,2024-03-21T23:18:30.869Z,DOGE/USD:USD,0.153974,1711063110869
,1.54125,10.0,2024-03-21T23:18:50.278Z,DOGE/USD:USD,0.154125,1711063130278
,1.54065,10.0,2024-03-21T23:19:11.073Z,DOGE/USD:USD,0.154065,1711063151073
,231.0765,1500.0,2024-03-21T23:19:13.136Z,DOGE/USD:USD,0.154051,1711063153136
,1.53938,10.0,2024-03-21T23:19:33.968Z,DOGE/USD:USD,0.153938,1711063173968
,1.54227,10.0,2024-03-21T23:20:20.268Z,DOGE/USD:USD,0.154227,1711063220268
,1.54137,10.0,2024-03-21T23:20:39.168Z,DOGE/USD:USD,0.154137,1711063239168
,1.54086,10.0,2024-03-21T23:21:15.568Z,DOGE/USD:USD,0.154086,1711063275568
,1.54125,10.0,2024-03-21T23:21:35.977Z,DOGE/USD:USD,0.154125,1711063295977
,1.54087,10.0,2024-03-21T23:22:13.968Z,DOGE/USD:USD,0.154087,1711063333968
,1.53956,10.0,2024-03-21T23:22:32.967Z,DOGE/USD:USD,0.153956,1711063352967
,1.54025,10.0,2024-03-21T23:22:52.070Z,DOGE/USD:USD,0.154025,1711063372070
